Muscle,Exercise,Weight,Reps
Back,Cable Lat 1,72.5,12
Back,Cable Lat 1,80,8
Back,Cable Lat 1,80,8
Back,Cable Row 1,85,7
Back,Cable Row,70,9
Back,Cable Row,70,9
Back,DB Row,85,15
Back,DB Row,95,10
Biceps,No Grip Side,30,11
Biceps,No Grip Side,35,5
Biceps,No Grip Side,30,8
Biceps,No Grip Side,25,10
Chest,DB Flat,80,8
Chest,DB Flat,80,6
Chest,DB Flat,70,8
Chest,DB Flat,70,5
Chest,Dips,150,21
Chest,Dips,150,17
Chest,Dips,150,15
Chest,Barbell Incline,45,12
Chest,Barbell Incline,55,8
Chest,Fly String,9,10
Chest,Fly String,9,9
Triceps,No Grip Down,25,18
Triceps,No Grip Down,30,18
Triceps,No Grip Down,30,18
Triceps,DB Skull,75,8
Triceps,DB Skull,75,6
Triceps,DB Skull,70,7
Triceps,Rope Down,65,8
Triceps,Rope Down,65,8
